Time (h), Air temperature (degC)
1,4
2,4.8
3,5.5
4,5.5
5,5.8
6,6
7,6.5
8,7.2
9,8
10,8.5
11,8.9
12,9.9
13,10.7
14,11.4
15,11
16,9.6
17,6.7
18,4.7
19,4.5
20,4.8
21,4
22,3.7
23,4
24,3.4
25,3.8
26,2.4
27,4.1
28,2.5
29,1.7
30,0.8
31,-0.6
32,2.8
33,7.1
34,7.4
35,8.4
36,7.6
37,7.7
38,8.4
39,8.3
40,5
41,3.5
42,1.8
43,0.4
44,-2.2
45,-1.8
46,-1.7
47,-1.4
48,-0.3
49,0.4
50
51,0.3
52,-0.2
53,-0.2
54,0.9
55,2.4
56,2.6
57,2.6
58,3.2
59,3.2
60,3
61,2.6
62,2.3
63,2.6
64,2.7
65,2.7
66,1.9
67,1.5
68,0.8
69,-0.4
70,-1.2
71,-0.5
72,-1.9
73,-2
74,-2.4
75,-1.7
76,-2
77,-2.3
78,-2.4
79,-1.4
80,0.5
81,1.6
82,2.8
83,3.5
84,4.4
85,4.6
86,4.6
87,3.4
88,2.6
89,1.8
90,2.5
91,2.4
92
93,-1.9
94,-3.2
95,-4.2
96,-3.7
97,-4.5
98,-4.5
99,-2.8
100,-1.6
101,-0.2
102,1.4
103,1.5
104,2.6
105,3.4
106,5.1
107,6.6
108,7.8
109,8.6
110,8.5
111,8.3
112,7.4
113,6.5
114,6.1
115,5.5
116,5.4
117,5
118,4.5
119,4.5
120,4.3
121,2.3
122,1.6
123,2
124,1.7
125,2.6
126,2.6
127,4.5
128,5.5
129,6.6
130,7
131,8.3
132,1
133,9.8
134,10.3
135,10.3
136,9.2
137,7.5
138,7
139,5.4
140,5
141,4.5
142,4
143,1.3
144
145,-0.5
146,1.3
147,-0.7
148,-1
149,-3
150,-2.5
151,-2.7
152,-0.4
153,2
154,3.4
155,4.7
156,6.1
157,6.4
158,6.8
159,5.5
160,3.1
161,0.3
162,-0.7
163,-1.3
164,-2.1
165,-2.8
166,-1.9
167,-3.5
168,-4
169,-4.9
170,-5.1
171,-5.6
172,-5.7
173,-5.4
174,-5.6
175,-3.1
176,-1.6
177,1.4
178,4.3
179,4.8
180,5.3
181,5.5
182,5.9
183,6.2
184,6.2
185,6.8
186,6.5
187,6.4
188,6.6
189,6.9
190,7
191,7.2
192,7.2
193,7.4
194,7.5
195,7.5
196,7.7
197,7.7
198,7.9
199,8.4
200,9
201,9.3
202,9.8
203,10.6
204,10.5
205,1
206,10.3
207,10.5
208,10.8
209,10.8
210,10.8
211,10.8
212,10.9
213,11
214,11
215,11
216,11
217,11.2
218,11.3
219,11.4
220,11.4
221,9.9
222,9.2
223,9.1
224,9.5
225,9.7
226,10.4
227,10.9
228,11.4
229,11.4
230,11.3
231,10.5
232,9.2
233,7.9
234,7.1
235,4.4
236,3.3
237,3
238,2.1
239,1.3
240,1.2
241,0.1
242,-0.8
243,-0.2
244,1.9
245,2.3
246,3.4
247,4.2
248,5.1
249,9
250,9.2
251,9.7
252,9.8
253,9.7
254,9.9
255,9.9
256,9.9
257,9.8
258,1
259,10.3
260,10.5
261,10.3
262,10.4
263,10.4
264,9.9
265,9.5
266,9.4
267,8.9
268,8.6
269,8.5
270,8.3
271,8.2
272,8.6
273,8.9
274,10.2
275,12.1
276,13.9
277,12.3
278,13.8
279,12.2
280,9.9
281,8.6
282,8.8
283,8.8
284,8.5
285,8.3
286,9.5
287,8.6
288,9.6
289,9.7
290,9.6
291,9.6
292,9.5
293,9.7
294,9.7
295,9.8
296,9.8
297,9.9
298,10.5
299,11.6
300,12.3
301,12.8
302,12.7
303,12.8
304,12.3
305
306
307,11.9
308,12.6
309,13.2
310,13.4
311,13.1
312,12.7
313,12.6
314,12.5
315,12.4
316,12.3
317,12.1
318,11.9
319,11.8
320,14.5
321,15.7
322,16.8
323,18.2
324,19.4
325,19.8
326,19.6
327,18.2
328,16.7
329,15.4
330,14.1
331,12.5
332,12.4
333,12.1
334,12
335,11.6
336,10.9
337,11.2
338,11.2
339,11
340,9.9
341,9.9
342,10.1
343,10.4
344,11.9
345,13.5
346,14.8
347,15.8
348,16.7
349,17.1
350,16.6
351,15.8
352,14.6
353,13.6
354,12.3
355,12.1
356,11.9
357,11.5
358,11.2
359,10.6
360,1
361,9.5
362,8.7
363,9
364,9.7
365,9.5
366,9.5
367,9.6
368,9.8
369,10.2
370,10.6
371,9.6
372,9.3
373,9.4
374,9.9
375,8.7
376,6.6
377,5.6
378,2.7
379,2
380,1.8
381,-0.1
382,-0.9
383,-1.3
384,-1.2
385,-1.9
386,-1.5
387,-1.2
388,-0.5
389,0.1
390,0.7
391,1.7
392,2.6
393,4.7
394,5.8
395,7
396,8.5
397,9
398,9.4
399,1
400,10.4
401,10.6
402,11.3
403,11.6
404,12
405,12
406,11.9
407,11.4
408,11.2
409,11.4
410,11.6
411,11.3
412,11.5
413,11.5
414,11.4
415,11.4
416,11.5
417,11.4
418,11.3
419,11.3
420,11.4
421,11.4
422,10.5
423,9.8
424,8.7
425,7.3
426,6.5
427,5.8
428,5.2
429,5
430,4.6
431,4.4
432,4.5
433,4.8
434,4.8
435,4.7
436,4.4
437,4.1
438,3.9
439,4
440,5.3
441,6.1
442,7.1
443,8.2
444,8.9
445,9
446,8.6
447,8.3
448,7.9
449,6.7
450,6.1
451,4.3
452,3.5
453,4.3
454,2
455,0.8
456,2.3
457,1.6
458,0.3
459,0.1
460,0.1
461,-0.4
462,-0.1
463,-0.8
464,0.2
465,1.3
466,2.6
467,3.8
468,4.4
469,5.6
470,5.7
471,5.5
472,5
473,5.1
474,4.8
475,4.7
476,4.5
477,4.6
478,4.8
479,4.9
480,5.1
481,5.3
482,5.4
483,5.7
484,5.8
485,5.8
486,5.3
487,5.6
488,6
489,6.6
490,7
491,7.5
492,7.4
493,6.6
494,6.8
495,7.4
496,7.8
497,8.4
498,8.7
499,9
500,8.9
501,8.4
502,8.4
503,8.5
504,9.1
505,9.8
506,10.2
507,10.7
508,10.4
509,6.9
510,5.3
511,5.4
512,5.8
513,6.3
514,6.6
515,6.4
516,7.1
517,7.6
518,7.9
519,6.7
520,5
521,4.2
522,4.2
523,4.2
524,3.7
525,3.6
526,3.2
527,2.8
528,1.9
529,1.9
530,0.9
531,0.1
532,0.4
533,1
534,-0.9
535,-1.6
536,-0.1
537,2.1
538,3.3
539,3.7
540,5.2
