temp,solarpower,rawdata,time,pk
19.4688,667.3,0.0698126,2019-05-15 18:00:00,81176
20.875,456.3,0.0468672,2019-05-15 19:00:00,81177
20.6875,248.8,0.02441,2019-05-15 20:00:00,81178
10.7812,43.0,0.0021969,2019-05-15 21:00:00,81179
6.71875,31.7,0.0009764,2019-05-15 22:00:00,81180
3.375,25.0,0.0002441,2019-05-15 23:00:00,81181
1.34375,24.9,0.0002441,2019-05-16 00:00:00,81182
0.90625,24.9,0.0002441,2019-05-16 01:00:00,81183
0.375,24.9,0.0002441,2019-05-16 02:00:00,81184
-0.59375,24.8,0.0002441,2019-05-16 03:00:00,81185
0.375,27.1,0.0004882,2019-05-16 04:00:00,81186
5.375,49.4,0.0029292,2019-05-16 05:00:00,81187
7.90625,74.0,0.0056143,2019-05-16 06:00:00,81188
15.75,130.7,0.0117168,2019-05-16 07:00:00,81189
17.5938,140.0,0.0126932,2019-05-16 08:00:00,81190
25.75,229.8,0.0224572,2019-05-16 09:00:00,81191
24.1875,435.5,0.0444262,2019-05-16 10:00:00,81192
23.875,543.9,0.056143,2019-05-16 11:00:00,81193
24.6562,802.8,0.0837263,2019-05-16 12:00:00,81194
19.0938,876.2,0.0925139,2019-05-16 13:00:00,81195
19.0625,885.2,0.0934903,2019-05-16 14:00:00,81196
17.7812,1016.4,0.107892,2019-05-16 15:00:00,81197
18.6875,941.1,0.0993487,2019-05-16 16:00:00,81198
22.0938,822.9,0.0864114,2019-05-16 17:00:00,81199
19.3438,660.3,0.0690803,2019-05-16 18:00:00,81200
18.1562,450.3,0.046379,2019-05-16 19:00:00,81201
16.8438,243.1,0.0239218,2019-05-16 20:00:00,81202
10.7812,49.7,0.0029292,2019-05-16 21:00:00,81203
7.84375,34.0,0.0014646,2019-05-16 22:00:00,81204
4.71875,25.0,0.0002441,2019-05-16 23:00:00,81205
2.59375,22.7,0.0002441,2019-05-17 00:00:00,81206
0.6875,24.9,0.0002441,2019-05-17 01:00:00,81207
-0.375,24.8,0,2019-05-17 02:00:00,81208
-1.03125,24.8,0.0002441,2019-05-17 03:00:00,81209
-1.125,27.0,0.0004882,2019-05-17 04:00:00,81210
4.5,44.9,0.002441,2019-05-17 05:00:00,81211
15.875,72.4,0.0053702,2019-05-17 06:00:00,81212
23.4062,91.2,0.007323,2019-05-17 07:00:00,81213
27.2812,105.3,0.0087876,2019-05-17 08:00:00,81214
29.5312,233.2,0.0224572,2019-05-17 09:00:00,81215
