Time (h),Temperature (degC)
0,7.999995983918327
1,8.007542350638042
2,8.020154078540715
3,8.035306299632497
4,8.050803769648015
5,8.067327036316826
6,8.083850302985878
7,8.10037356965491
8,8.11861640149598
9,8.137514396822029
10,8.15641239214823
11,8.175310387474147
12,8.194208382800394
13,8.21310637812656
14,8.2320043734525
15,8.251338090813134
16,8.270887680021183
17,8.290437269229193
18,8.309986858436963
19,8.329536447644978
20,8.349086036852933
21,8.368635626060838
22,8.388185215268814
23,8.40773480447672
24,8.427284393684696
25,8.446833982892729
26,8.46638357210056
27,8.48593316130854
28,8.505482750516443
29,8.524721089526995
30,8.543712767911533
31,8.562704446295886
32,8.58169612468041
33,8.600687803064753
34,8.619679481449344
35,8.638671159833805
36,8.657662838218315
37,8.676654516602728
38,8.695646194987297
39,8.714637873371698
40,8.73362955175626
41,8.75262123014073
42,8.771612908525235
43,8.790284501103264
44,8.808560213690283
45,8.82683592627737
46,8.845111638864287
47,8.86338735145117
48,8.881663064038396
49,8.899938776625177
50,8.918214489212266
51,8.93649020179924
52,8.954765914386297
53,8.973041626973165
54,8.991317339560245
55,9.009593052147231
56,9.027868764734157
57,9.046144477321214
58,9.06442018990813
59,9.082695902495185
60,9.100971615082182
61,9.119247327669061
62,9.13752304025607
63,9.155798752843056
64,9.174074465430069
65,9.192350178017026
66,9.210625890603906
67,9.228901603191106
68,9.247177315778021
69,9.265453028365052
70,9.283728740951995
71,9.30175331993246
72,9.318915038327836
73,9.336076756723081
74,9.35323847511827
75,9.37040019351362
76,9.387561911908762
77,9.404723630303945
78,9.421885348699146
79,9.43904706709458
80,9.456208785489741
81,9.47337050388502
82,9.490532222280248
83,9.50769394067548
84,9.52485565907082
85,9.542017377465973
86,9.559179095861271
87,9.576340814256561
88,9.593502532651785
89,9.610664251046988
90,9.62782596944214
91,9.644987687837384
92,9.662149406232489
93,9.679311124627874
94,9.696472843023098
95,9.71363456141838
96,9.730796279813672
97,9.747957998208971
98,9.765119716604023
99,9.78228143499921
100,9.799443153394453
101,9.816604871789693
102,9.83376659018504
103,9.85092830858031
104,9.868090026975596
105,9.88525174537081
106,9.902413463765875
107,9.919575182161276
108,9.936736900556616
109,9.953898618951687
110,9.971060337346906
111,9.988222055742142
112,10.005383774137437
113,10.022545492532798
114,10.039707210927938
115,10.056868929323096
116,10.0740306477183
117,10.091192366113614
118,10.108354084508955
119,10.12551580290426
120,10.142677521299394
121,10.159839239694646
122,10.177000958089847
123,10.194162676485117
124,10.21132439488035
125,10.228486113275594
126,10.24564783167085
127,10.262809550066047
128,10.2783974142697
129,10.293546965567948
130,10.308696516866462
131,10.323846068164691
132,10.338995619462914
133,10.354145170761301
134,10.369294722059674
135,10.384444273358033
136,10.399593824656282
137,10.414743375954616
138,10.429892927252924
139,10.44504247855128
140,10.460192029849598
141,10.475341581147758
142,10.490491132446047
143,10.505640683744588
144,10.520790235042872
145,10.53593978634092
146,10.551089337639453
147,10.566238888937724
148,10.581388440235836
149,10.596537991534156
150,10.611687542832687
151,10.626837094130902
152,10.641986645429139
153,10.65713619672754
154,10.672285748025807
155,10.68743529932414
156,10.702584850622488
157,10.717734401920831
158,10.732883953219165
159,10.748033504517396
160,10.763183055815714
161,10.778332607113942
162,10.79348215841242
163,10.808631709710673
164,10.823781261008945
165,10.838930812307101
166,10.854080363605586
167,10.869229914903826
168,10.884379466202136
169,10.899529017500619
170,10.914678568798733
171,10.929828120097074
172,10.944977671395309
173,10.960127222693863
174,10.97527677399195
175,10.990426325290242
176,11.005575876588603
177,11.020725427886925
178,11.035874979185175
179,11.051024530483499
180,11.066174081781945
181,11.081323633080238
182,11.096473184378512
183,11.111622735676992
184,11.126772286975267
185,11.141921838273321
186,11.157071389571794
187,11.172220940870027
188,11.187370492168533
189,11.202520043466546
190,11.217669594764898
191,11.23281914606324
192,11.247968697361584
193,11.263118248659927
194,11.278267799958195
195,11.293417351256412
196,11.308566902554833
197,11.323716453853091
198,11.338866005151479
199,11.354015556449767
200,11.36916510774796
201,11.384314659046415
202,11.399464210344867
203,11.414613761643073
204,11.429763312941313
205,11.444912864239669
206,11.46006241553801
207,11.47521196683623
208,11.490361518134538
209,11.505511069432892
210,11.520660620731185
211,11.535810172029416
212,11.550959723327724
213,11.56610927462607
214,11.581258825924294
215,11.596408377222685
216,11.611557928521101
217,11.626707479819235
218,11.641857031117546
219,11.657006582415999
220,11.672156133714251
221,11.687305685012424
222,11.702455236310989
223,11.717604787609044
224,11.732754338907425
225,11.74790389020587
226,11.763053441504034
227,11.778202992802582
228,11.793352544100765
229,11.808502095398785
230,11.823651646697328
231,11.838801197995679
232,11.853950749294018
233,11.86910030059228
234,11.884249851890598
235,11.899399403188873
236,11.914548954487262
237,11.929698505785687
238,11.94484805708385
239,11.9599976083822
240,11.975147159680386
