% Model,HUR_model_weather_Jyvaskyla.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 14 2019, 18:31"
% Table,Table 4 - Line Average 3 (ht.alphaTdxx)
% Time (h),"Thermal diffusivity, xx component (m^2/s)"
0,9.926470588235297E-7
1,9.926470588235297E-7
2,9.926470588235297E-7
3,9.926470588235297E-7
4,9.926470588235297E-7
5,9.926470588235297E-7
6,9.926470588235297E-7
7,9.926470588235297E-7
8,9.926470588235297E-7
9,9.926470588235297E-7
10,9.926470588235297E-7
11,9.926470588235297E-7
12,9.926470588235297E-7
13,9.926470588235297E-7
14,9.926470588235297E-7
15,9.926470588235297E-7
16,9.926470588235297E-7
17,9.926470588235297E-7
18,9.926470588235297E-7
19,9.926470588235297E-7
20,9.926470588235297E-7
21,9.926470588235297E-7
22,9.926470588235297E-7
23,9.926470588235297E-7
24,9.926470588235297E-7
25,9.926470588235297E-7
26,9.926470588235297E-7
27,9.926470588235297E-7
28,9.926470588235297E-7
29,9.926470588235297E-7
30,9.926470588235297E-7
31,9.926470588235297E-7
32,9.926470588235297E-7
33,9.926470588235297E-7
34,9.926470588235297E-7
35,9.926470588235297E-7
36,9.926470588235297E-7
37,9.926470588235297E-7
38,9.926470588235297E-7
39,9.926470588235297E-7
40,9.926470588235297E-7
41,9.926470588235297E-7
42,9.926470588235297E-7
43,9.926470588235297E-7
44,9.926470588235297E-7
45,9.926470588235297E-7
46,9.926470588235297E-7
47,9.926470588235297E-7
48,9.926470588235297E-7
49,9.926470588235297E-7
50,9.926470588235297E-7
51,9.926470588235297E-7
52,9.926470588235297E-7
53,9.926470588235297E-7
54,9.926470588235297E-7
55,9.926470588235297E-7
56,9.926470588235297E-7
57,9.926470588235297E-7
58,9.926470588235297E-7
59,9.926470588235297E-7
60,9.926470588235297E-7
61,9.926470588235297E-7
62,9.926470588235297E-7
63,9.926470588235297E-7
64,9.926470588235297E-7
65,9.926470588235297E-7
66,9.926470588235297E-7
67,9.926470588235297E-7
68,9.926470588235297E-7
69,9.926470588235297E-7
70,9.926470588235297E-7
71,9.926470588235297E-7
72,9.926470588235297E-7
73,9.926470588235297E-7
74,9.926470588235297E-7
75,9.926470588235297E-7
76,9.926470588235297E-7
77,9.926470588235297E-7
78,9.926470588235297E-7
79,9.926470588235297E-7
80,9.926470588235297E-7
81,9.926470588235297E-7
82,9.926470588235297E-7
83,9.926470588235297E-7
84,9.926470588235297E-7
85,9.926470588235297E-7
86,9.926470588235297E-7
87,9.926470588235297E-7
88,9.926470588235297E-7
89,9.926470588235297E-7
90,9.926470588235297E-7
91,9.926470588235297E-7
92,9.926470588235297E-7
93,9.926470588235297E-7
94,9.926470588235297E-7
95,9.926470588235297E-7
96,9.926470588235297E-7
97,9.926470588235297E-7
98,9.926470588235297E-7
99,9.926470588235297E-7
100,9.926470588235297E-7
101,9.926470588235297E-7
102,9.926470588235297E-7
103,9.926470588235297E-7
104,9.926470588235297E-7
105,9.926470588235297E-7
106,9.926470588235297E-7
107,9.926470588235297E-7
108,9.926470588235297E-7
109,9.926470588235297E-7
110,9.926470588235297E-7
111,9.926470588235297E-7
112,9.926470588235297E-7
113,9.926470588235297E-7
114,9.926470588235297E-7
115,9.926470588235297E-7
116,9.926470588235297E-7
117,9.926470588235297E-7
118,9.926470588235297E-7
119,9.926470588235297E-7
120,9.926470588235297E-7
121,9.926470588235297E-7
122,9.926470588235297E-7
123,9.926470588235297E-7
124,9.926470588235297E-7
125,9.926470588235297E-7
126,9.926470588235297E-7
127,9.926470588235297E-7
128,9.926470588235297E-7
129,9.926470588235297E-7
130,9.926470588235297E-7
131,9.926470588235297E-7
132,9.926470588235297E-7
133,9.926470588235297E-7
134,9.926470588235297E-7
135,9.926470588235297E-7
136,9.926470588235297E-7
137,9.926470588235297E-7
138,9.926470588235297E-7
139,9.926470588235297E-7
140,9.926470588235297E-7
141,9.926470588235297E-7
142,9.926470588235297E-7
143,9.926470588235297E-7
144,9.926470588235297E-7
145,9.926470588235297E-7
146,9.926470588235297E-7
147,9.926470588235297E-7
148,9.926470588235297E-7
149,9.926470588235297E-7
150,9.926470588235297E-7
151,9.926470588235297E-7
152,9.926470588235297E-7
153,9.926470588235297E-7
154,9.926470588235297E-7
155,9.926470588235297E-7
156,9.926470588235297E-7
157,9.926470588235297E-7
158,9.926470588235297E-7
159,9.926470588235297E-7
160,9.926470588235297E-7
161,9.926470588235297E-7
162,9.926470588235297E-7
163,9.926470588235297E-7
164,9.926470588235297E-7
165,9.926470588235297E-7
166,9.926470588235297E-7
167,9.926470588235297E-7
168,9.926470588235297E-7
169,9.926470588235297E-7
170,9.926470588235297E-7
171,9.926470588235297E-7
172,9.926470588235297E-7
173,9.926470588235297E-7
174,9.926470588235297E-7
175,9.926470588235297E-7
176,9.926470588235297E-7
177,9.926470588235297E-7
178,9.926470588235297E-7
179,9.926470588235297E-7
180,9.926470588235297E-7
181,9.926470588235297E-7
182,9.926470588235297E-7
183,9.926470588235297E-7
184,9.926470588235297E-7
185,9.926470588235297E-7
186,9.926470588235297E-7
187,9.926470588235297E-7
188,9.926470588235297E-7
189,9.926470588235297E-7
190,9.926470588235297E-7
191,9.926470588235297E-7
192,9.926470588235297E-7
193,9.926470588235297E-7
194,9.926470588235297E-7
195,9.926470588235297E-7
196,9.926470588235297E-7
197,9.926470588235297E-7
198,9.926470588235297E-7
199,9.926470588235297E-7
200,9.926470588235297E-7
201,9.926470588235297E-7
202,9.926470588235297E-7
203,9.926470588235297E-7
204,9.926470588235297E-7
205,9.926470588235297E-7
206,9.926470588235297E-7
207,9.926470588235297E-7
208,9.926470588235297E-7
209,9.926470588235297E-7
210,9.926470588235297E-7
211,9.926470588235297E-7
212,9.926470588235297E-7
213,9.926470588235297E-7
214,9.926470588235297E-7
215,9.926470588235297E-7
216,9.926470588235297E-7
217,9.926470588235297E-7
218,9.926470588235297E-7
219,9.926470588235297E-7
220,9.926470588235297E-7
221,9.926470588235297E-7
222,9.926470588235297E-7
223,9.926470588235297E-7
224,9.926470588235297E-7
225,9.926470588235297E-7
226,9.926470588235297E-7
227,9.926470588235297E-7
228,9.926470588235297E-7
229,9.926470588235297E-7
230,9.926470588235297E-7
231,9.926470588235297E-7
232,9.926470588235297E-7
233,9.926470588235297E-7
234,9.926470588235297E-7
235,9.926470588235297E-7
236,9.926470588235297E-7
237,9.926470588235297E-7
238,9.926470588235297E-7
239,9.926470588235297E-7
240,9.926470588235297E-7
241,9.926470588235297E-7
242,9.926470588235297E-7
243,9.926470588235297E-7
244,9.926470588235297E-7
245,9.926470588235297E-7
246,9.926470588235297E-7
247,9.926470588235297E-7
248,9.926470588235297E-7
249,9.926470588235297E-7
250,9.926470588235297E-7
251,9.926470588235297E-7
252,9.926470588235297E-7
253,9.926470588235297E-7
254,9.926470588235297E-7
255,9.926470588235297E-7
256,9.926470588235297E-7
257,9.926470588235297E-7
258,9.926470588235297E-7
259,9.926470588235297E-7
260,9.926470588235297E-7
261,9.926470588235297E-7
262,9.926470588235297E-7
263,9.926470588235297E-7
264,9.926470588235297E-7
265,9.926470588235297E-7
266,9.926470588235297E-7
267,9.926470588235297E-7
268,9.926470588235297E-7
269,9.926470588235297E-7
270,9.926470588235297E-7
271,9.926470588235297E-7
272,9.926470588235297E-7
273,9.926470588235297E-7
274,9.926470588235297E-7
275,9.926470588235297E-7
276,9.926470588235297E-7
277,9.926470588235297E-7
278,9.926470588235297E-7
279,9.926470588235297E-7
280,9.926470588235297E-7
281,9.926470588235297E-7
282,9.926470588235297E-7
283,9.926470588235297E-7
284,9.926470588235297E-7
285,9.926470588235297E-7
286,9.926470588235297E-7
287,9.926470588235297E-7
288,9.926470588235297E-7
289,9.926470588235297E-7
290,9.926470588235297E-7
291,9.926470588235297E-7
292,9.926470588235297E-7
293,9.926470588235297E-7
294,9.926470588235297E-7
295,9.926470588235297E-7
296,9.926470588235297E-7
297,9.926470588235297E-7
298,9.926470588235297E-7
299,9.926470588235297E-7
300,9.926470588235297E-7
301,9.926470588235297E-7
302,9.926470588235297E-7
303,9.926470588235297E-7
304,9.926470588235297E-7
305,9.926470588235297E-7
306,9.926470588235297E-7
307,9.926470588235297E-7
308,9.926470588235297E-7
309,9.926470588235297E-7
310,9.926470588235297E-7
311,9.926470588235297E-7
312,9.926470588235297E-7
313,9.926470588235297E-7
314,9.926470588235297E-7
315,9.926470588235297E-7
316,9.926470588235297E-7
317,9.926470588235297E-7
318,9.926470588235297E-7
319,9.926470588235297E-7
320,9.926470588235297E-7
321,9.926470588235297E-7
322,9.926470588235297E-7
323,9.926470588235297E-7
324,9.926470588235297E-7
325,9.926470588235297E-7
326,9.926470588235297E-7
327,9.926470588235297E-7
328,9.926470588235297E-7
329,9.926470588235297E-7
330,9.926470588235297E-7
331,9.926470588235297E-7
332,9.926470588235297E-7
333,9.926470588235297E-7
334,9.926470588235297E-7
335,9.926470588235297E-7
336,9.926470588235297E-7
337,9.926470588235297E-7
338,9.926470588235297E-7
339,9.926470588235297E-7
340,9.926470588235297E-7
341,9.926470588235297E-7
342,9.926470588235297E-7
343,9.926470588235297E-7
344,9.926470588235297E-7
345,9.926470588235297E-7
346,9.926470588235297E-7
347,9.926470588235297E-7
348,9.926470588235297E-7
349,9.926470588235297E-7
350,9.926470588235297E-7
351,9.926470588235297E-7
352,9.926470588235297E-7
353,9.926470588235297E-7
354,9.926470588235297E-7
355,9.926470588235297E-7
356,9.926470588235297E-7
357,9.926470588235297E-7
358,9.926470588235297E-7
359,9.926470588235297E-7
360,9.926470588235297E-7
361,9.926470588235297E-7
362,9.926470588235297E-7
363,9.926470588235297E-7
364,9.926470588235297E-7
365,9.926470588235297E-7
366,9.926470588235297E-7
367,9.926470588235297E-7
368,9.926470588235297E-7
369,9.926470588235297E-7
370,9.926470588235297E-7
371,9.926470588235297E-7
372,9.926470588235297E-7
373,9.926470588235297E-7
374,9.926470588235297E-7
375,9.926470588235297E-7
376,9.926470588235297E-7
377,9.926470588235297E-7
378,9.926470588235297E-7
379,9.926470588235297E-7
380,9.926470588235297E-7
381,9.926470588235297E-7
382,9.926470588235297E-7
383,9.926470588235297E-7
384,9.926470588235297E-7
385,9.926470588235297E-7
386,9.926470588235297E-7
387,9.926470588235297E-7
388,9.926470588235297E-7
389,9.926470588235297E-7
390,9.926470588235297E-7
391,9.926470588235297E-7
392,9.926470588235297E-7
393,9.926470588235297E-7
394,9.926470588235297E-7
395,9.926470588235297E-7
396,9.926470588235297E-7
397,9.926470588235297E-7
398,9.926470588235297E-7
399,9.926470588235297E-7
400,9.926470588235297E-7
401,9.926470588235297E-7
402,9.926470588235297E-7
403,9.926470588235297E-7
404,9.926470588235297E-7
405,9.926470588235297E-7
406,9.926470588235297E-7
407,9.926470588235297E-7
408,9.926470588235297E-7
409,9.926470588235297E-7
410,9.926470588235297E-7
411,9.926470588235297E-7
412,9.926470588235297E-7
413,9.926470588235297E-7
414,9.926470588235297E-7
415,9.926470588235297E-7
416,9.926470588235297E-7
417,9.926470588235297E-7
418,9.926470588235297E-7
419,9.926470588235297E-7
420,9.926470588235297E-7
421,9.926470588235297E-7
422,9.926470588235297E-7
423,9.926470588235297E-7
424,9.926470588235297E-7
425,9.926470588235297E-7
426,9.926470588235297E-7
427,9.926470588235297E-7
428,9.926470588235297E-7
429,9.926470588235297E-7
430,9.926470588235297E-7
